review_text,timestamp,product_id,reviewer_id
"Battery barely lasts 3 hours. For a phone at this price, that's unacceptable.",2026-04-01 08:00:00,SMARTX-500,u001
"The camera is phenomenal! Night mode photos look like they were taken by a DSLR.",2026-04-01 10:30:00,SMARTX-500,u002
"Delivery took 15 days instead of the promised 3. Absolutely frustrating.",2026-04-01 14:00:00,SMARTX-500,u003
"Display is bright and colorful. Best AMOLED panel I've seen under 20k.",2026-04-02 09:00:00,SMARTX-500,u004
"Packaging was so bad the phone box was open when I received it.",2026-04-02 11:00:00,SMARTX-500,u005
"Battery drains like water. Can't even get through half a day.",2026-04-02 16:00:00,SMARTX-500,u006
"Sound from the speakers is just average. No bass at all.",2026-04-03 08:00:00,SMARTX-500,u007
"Yeah right, 'premium' build quality. The back panel scratched on day one.",2026-04-03 12:00:00,SMARTX-500,u008
"Customer service hung up on me twice. Never buying from this brand again.",2026-04-03 15:00:00,SMARTX-500,u009
"Software is clean, no bloatware. Android experience is near-stock.",2026-04-04 09:00:00,SMARTX-500,u010
"Packaging arrived torn and the charger was missing from the box!",2026-04-04 11:30:00,SMARTX-500,u011
"Battery charge takes 2 hours but dies in 3. Waste of money.",2026-04-04 14:00:00,SMARTX-500,u012
"Bahut ghatiya packaging. Phone ka box tuta hua aaya.",2026-04-05 08:00:00,SMARTX-500,u013
"Camera zoom is a joke. Anything beyond 2x is just pixelated noise.",2026-04-05 10:00:00,SMARTX-500,u014
"Performance is buttery smooth. No lag even with 20 apps open.",2026-04-05 13:00:00,SMARTX-500,u015
"Price seems high but you get what you pay for. Worth every rupee.",2026-04-06 09:00:00,SMARTX-500,u016
"My package came completely crushed. Third order from this seller with damaged packaging.",2026-04-06 11:00:00,SMARTX-500,u017
"The display cracked after a minor drop. Gorilla Glass? More like paper glass.",2026-04-06 14:00:00,SMARTX-500,u018
"Fast delivery in just 1 day! Impressed with the logistics.",2026-04-07 08:00:00,SMARTX-500,u019
"Battery is the biggest weakness. Everything else about this phone is great.",2026-04-07 10:00:00,SMARTX-500,u020
"Oh great, another update that makes the phone slower. Thanks for the 'improvement'.",2026-04-07 13:00:00,SMARTX-500,u021
"Build quality is top-notch. Metal frame feels solid and premium.",2026-04-08 09:00:00,SMARTX-500,u022
"Packaging was damaged AGAIN. This is the fourth time now. Fix your shipping!",2026-04-08 11:00:00,SMARTX-500,u023
"The selfie camera is not great. Photos look washed out in indoor lighting.",2026-04-08 14:00:00,SMARTX-500,u024
"BEST PHONE EVER BUY NOW BEST PHONE EVER BUY NOW BEST PHONE EVER",2026-04-08 15:00:00,SMARTX-500,bot01
"BEST PHONE EVER BUY NOW BEST PHONE EVER BUY NOW BEST PHONE EVER",2026-04-08 15:01:00,SMARTX-500,bot02
"BEST PHONE EVER BUY NOW BEST PHONE EVER BUY NOW BEST PHONE EVER",2026-04-08 15:02:00,SMARTX-500,bot03
"BEST PHONE EVER BUY NOW BEST PHONE EVER BUY NOW BEST PHONE EVER",2026-04-08 15:03:00,SMARTX-500,bot04
"Zabardast camera! Mast photos aate hain. Paisa vasool!",2026-04-09 09:00:00,SMARTX-500,u025
"Speaker volume is too low. Can barely hear anything in a noisy room.",2026-04-09 11:00:00,SMARTX-500,u026
"The phone heats up badly during gaming. Performance drops after 10 minutes.",2026-04-09 14:00:00,SMARTX-500,u027
"Packaging issue is becoming a pattern. Amazon needs better quality control.",2026-04-10 08:00:00,SMARTX-500,u028
"Battery not lasting even half a day now. Regret this purchase.",2026-04-10 10:00:00,SMARTX-500,u029
"Display resolution is sharp. Text and images look crisp.",2026-04-10 13:00:00,SMARTX-500,u030
"Delivery courier threw the package over my gate. Absolutely pathetic service.",2026-04-11 09:00:00,SMARTX-500,u031
"Customer support is helpful. Got my issue resolved in one call.",2026-04-11 11:00:00,SMARTX-500,u032
"The UI is clean but software updates are painfully slow to arrive.",2026-04-11 14:00:00,SMARTX-500,u033
"Camera in daylight is superb. Colors are natural and details are sharp.",2026-04-12 09:00:00,SMARTX-500,u034
"Build feels flimsy. Plastic back creaks when you press it.",2026-04-12 11:00:00,SMARTX-500,u035
"Overall a decent phone but the battery ruins the experience.",2026-04-12 14:00:00,SMARTX-500,u036
